Date,Volume,Open,Close,High,Low
6/21/2022,2134653,504.08,503.77,510.91,502.89
6/17/2022,3867751,495,498.65,500.36,487.87
6/16/2022,3499848,511.95,497.18,514.43,492.275
6/15/2022,1874224,529.15,526.71,533.83,515.52
6/14/2022,2305163,524.97,520.17,524.97,514.59
6/13/2022,2978207,526.78,517.62,533,516.021
6/10/2022,2307157,550.09,541.27,551.0431,539.7219
6/9/2022,1839179,561.16,556.22,573.64,555.93
6/8/2022,2306267,571.82,565.36,576.27,562.14
6/7/2022,1589491,560.54,572.99,574.54,557.53
6/6/2022,1455678,571.52,561.23,572.72,557.54
6/3/2022,2056171,568.87,563.32,569.6,560.98
6/2/2022,2948939,577.75,576.74,577.77,568.13
6/1/2022,1834481,587.58,573.62,590.94,568.43
5/31/2022,3000940,584.5,580.13,587.025,576
5/27/2022,3730114,562.09,583.28,585.455,560.01
5/26/2022,3974283,531.54,550.66,554.57,527.72
5/25/2022,1784225,523.9,531.63,537.45,523.9
5/24/2022,2506019,526.66,524.2,528.87,516.19
5/23/2022,5858580,524,526.36,535.57,514.26
5/20/2022,4028103,553.9,543.19,554.99,512.44
5/19/2022,3488421,558,546.21,560.75,538.96
5/18/2022,3502433,600,570.57,600.72,566.18
5/17/2022,2467604,595.45,608.15,609,593.61
5/16/2022,1419084,584.38,582.67,589.14,577.65
5/13/2022,1945085,577.05,588.24,591.59,573.5
5/12/2022,2551775,563.4,571.57,573.61,558.26
5/11/2022,2665951,574.58,567.11,584.69,565.86
5/10/2022,2927311,580.49,581.39,591.15,571.8
5/9/2022,3007388,572.88,562.92,578,560.27
5/6/2022,2074700,574.94,580.1,589.98,569.43
5/5/2022,3280649,594.23,579.99,597.865,574.285
5/4/2022,2389585,581.79,603.66,604.07,573.98
5/3/2022,1706449,576.01,581.17,586.75,571.7666
5/2/2022,2204376,557.14,576.57,577.64,556.38
4/29/2022,2611006,572.62,554.39,578.2806,553.395
4/28/2022,2233400,565.94,578.94,585.02,557.97
4/27/2022,1931324,555.79,559.54,570.075,555
4/26/2022,3580891,583.8,560.07,585.46,559.71
4/25/2022,2695907,581.49,587.88,588.76,571.12
4/22/2022,2103509,590.11,586.95,598.74,586.26
4/21/2022,2035211,605.54,592.73,615.87,590.66
4/20/2022,1391990,604.2,597.72,613.43,595.13
4/19/2022,1658242,579.36,597.62,598.695,579.36
4/18/2022,2137453,572.85,586.5,591.22,572.85
4/14/2022,2731871,594.99,573.85,597.06,572.86
4/13/2022,2026760,588.5,592.54,596.71,586.05
4/12/2022,1734993,589.11,585.07,598.585,582.17
4/11/2022,2351240,582.58,580.61,589.28,579.43
4/8/2022,2046397,597.38,587,598.59,585.97
4/7/2022,1658333,599.83,603.05,607.6437,593.24
4/6/2022,2374237,602.08,602,611.59,593.77
4/5/2022,1977782,629.55,614.12,632.2639,613
4/4/2022,1648573,626.425,634.85,636.72,624.515
4/1/2022,1626685,631.69,626.98,634.57,618.69
3/31/2022,2173051,630.48,629.68,638.9999,628.05
3/30/2022,1862620,638.87,631.09,644.29,627.33
3/29/2022,2300138,640,641.47,645.31,630
3/28/2022,1442861,625.88,632.88,633.3,615.78
